"Username","Comment"
"monsour tecson","We should consult Japan with this matter."
"Brent Villanueva","So during these times, poor people are saving up to be poor..."
"D'Real Heaven&Hell","Support local filipino product to reduce inflation buy local products .. support our fellow filipino.. to ease inflation nationwide."
"Nike Husk","Inflation, covid, media killings, red tagging…golden age!"
"Eddie De Leon","it was stated GENERALLY AROUND THE WORLD during LOCKDOWN by head of WHO Sir Chino Gaston and poverty incidence some countries have double digits or more i always looked at prevailing situations good afternoon Mam Bernadette Reyes HELPING HANDS as always i commented on my own and who can understand it good day to all us PANTRY we done it before we can do it again I BELIEVE by Sir Tom Jones"
"Szpidey Taba","No problem at all dahil Nkmonitor ang gobyerno."
"#LetMeEducateYou","habang ang abala lamang ang SD card president ng kawawang Pilipinas sa parties, panonood ng concert at car racing sa ibang bansa. kasama ang buong barkada. gamit ang presidential jet na binili at ginagastusan ng mga taxpayers."
"s x","namiss ko si noynoy"
"PETER PAN","DARNA WEEKDAYS 8PM ON ABS-CBN A2Z TV5 & KAPAMILYA ONLINE LIVE"
"wewyllenium","akala ko ba 4.1 lang sabi leader?"
"Pierce Cruz","""We're not that high"""
"Ri Khu","We're not that high!
-M"
"Cheap Pinoy","yes yes yes"
"Shojoji Dwarf","Golden age the Marcos Junior episode
"" SAMA - SAMA TAYONG BABAHAG MULI ""....."
"blip8634","first 100 days palang yan
golden age na."
"Joshua Lanz Laoutzi","Unity pa more ahahahahahaha"
"Rowy Gimenez","Ayan since 2018 kaya pa pinas paktay na tayo"
"garry alluad","Apaka galing talaga ni bbm..."
"Step like a Peguiiinn","Inflation sana sa sahod punyera"
"PRO ML","As i expected unting-unti na di mauunlad ng pinas ️"
"Frans Santos","UNITY"
"Prof. Leo 02","Nice!"
"Pau Hub","lahat naman tumataas kahit sa ibang bansa"
"sj","babagsak na ang bansa natin"
"Mi Aya","Basta ako 20 pesos lang bigas na binibili ko. nakakaawa kayo "
"Renyl Arias","Hindi ako apektado hindi namo ako solid Uniteam."
"Carl Kirby Arellano","Bread"
"Pinay Vlogs","first comment"
"Princess","stream hello by treasure"
"PRO ML","Utang pa more ️"
"Mario Ducusin","Cocomelon"
"Jimmy Cuizon","Di lang naman sa PH tumaas ang Inflation rate. It's the whole world suffers inflation some are worst than ours!"
"monsour tecson","That is because the price of Oil increase, commodity needs oil to be transported."
"monsour tecson","If Ukraine don't resist it not gonna happen."
"LBJ ROCKS","dito mo malalaman yung marunong sa economics at may pinag aralan. yung mga walang pinag aralan o di alam ang basic economics isisisi talaga yan kay bbm. kahit po us tumaas din ang inflation rate"
"PETER PAN","DARNA WEEKDAYS 8PM ON ABS-CBN A2Z TV5 & KAPAMILYA ONLINE LIVE"
"PETER PAN","DARNA WEEKDAYS 8PM ON ABS-CBN A2Z TV5 & KAPAMILYA ONLINE LIVE"
"Hyesun Tess Llanto","Kahit saang bansa"
"Prince Yusoph Mustapha","Maraming Negosyo Close kong Patuloy higt price ng mga Bilihin. Magagaya tayo sa Hongkong May mga Malalaki Negosyo sarado dahil sa Pandemic ng taasan Bilihin"
"UwU","Inflation rate are increasing all over the world.Biased"
"MARK RANAY","Hahaha ung raise ko naging 0% na ung halaga"
"TOL MJ","normal yan sa kahit saang mang bansa jusmio marimar..."
"Josefina Valenzona","SANA PO MG BABA NA SANA NGUN C BBM NA AT.SARAH D.C."
"War Lalab","GMA..halos lhat ng binabalita nyo ay negative"
"nadel pogi","Whats new?"
"aramaki","Dapat ipasara narin kayo puro nega hatid na balita nyu para saan mang hikayat ng tao na mging nega tingin sa gobyerno?"
"biggie smalls","Tawa ko sa gma pahalata masyado maka unsub nga negative lang dala ung iba network d nqman pansin k lang 2022 na .  Bat d nila balita na ma's mahal ung ppe nung 2016 wla naman pandemic bat d nila encourage na mamunuhan mgtipid  may mga job opportunities sa labas may mga bubuksan oil company etc"
"tagum city","Sinong may kasalanan neto?"
"Renlee Dativo","Atleast we are better than Greece, turkey, Venezuela, Argentina,Zimbabwe,Peru,Sri lankaand pakistan."
"Ak Ak","Golden Era na nga? D b 31M?"
"Zhyra's Cooking Blog","Bakit kaya itong mga media na ito basta mga negative na balita gustong gusto nila. At ang mga magagandang Balita ar project tinatakpan nila."
"𝗔𝗱𝗼𝗯𝗼 𝗧𝗩 • 4 years ago","Kailangang-kailangan talaga ng Pilipinas ang sariling resources ng oil and gas para makontrol at mapabagal ang pagtaas ng presyo ng mga bilihin."
"чи юу руу харж байгаа юм бэ?","PHILIPPINE GOLDEN AGE"
"Angela Arrieta","Masyado ng madami ang mahal, di na namin kaya na mahihirap."
"RhodPerez","Mahirap na bansa yan Ang Pilipinas"
"Kakabsat","Tutukan ang agricultura.para sa pagkain."
"Marlon Ganituen","Maaayos dn ang lht."
"Princess Rodriguez","Hello august 2018 6.4% nalampasan Naman natin"
"Yeju Brando","Gawing 20 pisos ang bigas"
"BOB TV","Sa kaming ilalagay nito kahit dto sa probinsya sobrang mahal ng isda at gulay mahal rin ang karne at bigas.....mahina rin ang kuha ng isda dto....maliit lng ang pilipinas bat ganun kinukulang pa ang pagkain dto...."
"Tony Fury","SRI LANKA IS WAVING"
"William Menor","Mga negosyante  ang nagpapataas"
"Jhon Digal","unity lang katapat nyan"
"Landown over","Bbms paaaaaasok!!!!"
"koukimonzta","sige anak pa ng anak"
"Victor Rodriguez","Napakabait ni tatay na naglulugaw marunong syang umunawa sa mga tao kahit pa ikaluge nya ito salute ako sa iyo tay more power god bless you."
"Eric Encina","Inflation Is Likely to Hit Double Digits—and ‘Build Back Better’ Will Make It Worse"
"Josefina Domingo","Sana humaba pa ang buhay ni tatay .Dahil marami syang pinapawing gutom sa murang halaga"
"doodles11006","this is what I have been saying for sooo long, No matter how much ang increase ng sahod para lang matustusan itong inflation hindi yan eepek. its increasing the power of the PESO yun lang, kasi the more it can purchase something ok na eh wala"
"Kitana Padua","Ang mahal mga gulay pero sa bagio tinatapon nlang ang gulay sana maaksyonan nang governo"
"arnold damayon","Dapat tanggapin na ang mga senior sa trabaho kung gusto pa nila or kaya nila"
"Benedicto 12344","Isama pa yung ini-atang na lahat sa mga malalaki ang sweldo ang pagbabayad ng buwis kaya ang mga sweldo ay mahihirapang umakyat para sa minimum wage earners kasi imbes na idagdag sa sweldo ng manggagawa ay pambabayad nalang ng buwis. Lalo na sa mga employers"
"RODEL Pineda","yung heal as one act sabi walang maiiwan pero hndi naman kami tinulungan ng dole nung nag pandemic ang katwiran hndi daw kaya ng budget.peri may subra na ibinalik lng na sana napakinabangan naming nawalan ng trabaho.kahit puhunan sana kasi wala"
"Miguel Cruz","Golden age"
"Ziodith vlog","That’s right we can plant our own vegetables anyway"
"gelolino","God bless Kay tatay Ng bebenta Ng lugaw"
"Mj Eliad","Tataas at taas ang bilihin sa ayaw at gusto mo. At Kong hindi ka mag trabaho hindi madagdagan ang piso mo. matoto kang komayud at wag iasa sa iba"
"Eliza Santiago",""
"Moro Morong","Dapat po gumawa yung gobyerno ng mabilis na aksyon kasi nagugutom ng ang taong bayan kapag kupad kupad ka umutang ang pilipinas ng malaking halagang pera at ipautang din ito sa gusto mag kanegosyo at tulungan din sila kung pano palaguin ang negosyo tas yung tubo na uutangin ay dapat %1 lng ganyan kasi ginawa ng japan kahit na napakalaki ng kanilang utang ay sobrang yaman nila"
"Mark allan Ayke","Grabe na Pala sa maynila Ngayon Dito sa probensya bihira lang kami nakakain Ng lugaw puro Karni nakakasawa na nga .. Kaya nag papasalamat Ako sa panginoon .."
"Kyle Kapasilan","Di mabahala ? Same lang sahod wala increase . People of the Government please make action."
